exp,conc,prot,tipo
1.130161,0,Endoglin,replicate
0.257415,0,Endoglin,replicate
1.612424,0,Endoglin,replicate
1,0,Endoglin,mean
2.245366,0.001,Endoglin,replicate
0.685872,0.001,Endoglin,replicate
1.676215,0.001,Endoglin,replicate
1.53581766666667,0.001,Endoglin,mean
1.971493,0.256,Endoglin,replicate
1.063981,0.256,Endoglin,replicate
3.266173,0.256,Endoglin,replicate
2.100549,0.256,Endoglin,mean
2.506913,524.3,Endoglin,replicate
1.58233,524.3,Endoglin,replicate
4.771792,524.3,Endoglin,replicate
2.95367833333333,524.3,Endoglin,mean
1.301443,0,PlGF,replicate
1.10114,0,PlGF,replicate
0.597418,0,PlGF,replicate
1.00000033333333,0,PlGF,mean
1.345348,0.001,PlGF,replicate
1.089877,0.001,PlGF,replicate
0.965955,0.001,PlGF,replicate
1.13372666666667,0.001,PlGF,mean
0.999369,0.256,PlGF,replicate
1.048604,0.256,PlGF,replicate
2.076803,0.256,PlGF,replicate
1.37492533333333,0.256,PlGF,mean
1.380102,524.3,PlGF,replicate
0.942012,524.3,PlGF,replicate
0.69839,524.3,PlGF,replicate
1.00683466666667,524.3,PlGF,mean
